Date/Time (PST),Battery Voltage (v),Temperature (deg F),Relative Humidity (%),Wind Speed Minimum (mph),Wind Speed Average (mph),Wind Direction (deg.),Wind Speed Maximum (mph),"Intermittent/Shot Snow ("")"
2018-12-31 23:00,12.62,21.3,46.79,0.0,0.004,2.499,0.012,
2018-12-31 22:00,12.63,20.68,51.15,0.0,0.004,3.348,0.012,
2018-12-31 21:00,12.64,20.56,53.12,0.0,0.001,8.68,0.006,
2018-12-31 20:00,12.65,19.7,62.92,0.0,0.008,352.7,0.019,
2018-12-31 19:00,12.67,19.93,80.0,0.006,0.006,339.6,0.012,
2018-12-31 18:00,12.69,20.91,89.2,0.006,0.007,327.7,0.019,
2018-12-31 17:00,12.72,21.76,89.7,0.006,0.007,327.7,0.012,
2018-12-31 16:00,12.95,20.77,86.2,0.0,0.007,339.4,0.019,
2018-12-31 15:00,13.56,22.73,85.3,0.0,0.006,72.21,0.012,
2018-12-31 14:00,13.57,22.11,80.3,0.006,0.006,123.2,0.006,
2018-12-31 13:00,13.57,23.46,90.5,0.006,0.006,166.8,0.019,
2018-12-31 12:00,13.54,20.15,83.7,0.006,0.006,112.9,0.006,
2018-12-31 11:00,13.52,19.66,83.6,0.006,0.006,121.2,0.012,
2018-12-31 10:00,13.51,19.17,82.8,0.006,0.006,119.0,0.012,
2018-12-31 09:00,12.93,19.43,89.5,0.006,0.006,107.6,0.012,
2018-12-31 08:00,12.47,18.2,89.9,0.0,0.007,102.0,0.012,
2018-12-31 07:00,12.36,18.2,89.0,0.006,0.007,111.7,0.019,
2018-12-31 06:00,12.35,17.83,90.8,0.006,0.007,119.3,0.019,
2018-12-31 05:00,12.35,17.83,91.3,0.006,0.007,111.1,0.019,
2018-12-31 04:00,12.36,18.44,91.5,0.006,0.007,106.0,0.012,
2018-12-31 03:00,12.36,18.93,92.2,0.006,0.007,122.6,0.012,
2018-12-31 02:00,12.37,18.93,92.5,0.006,0.007,134.4,0.012,
2018-12-31 01:00,12.38,19.05,92.3,0.006,0.007,100.1,0.012,
2018-12-31 00:00,12.38,18.93,92.4,0.006,0.007,54.27,0.012,
2018-12-30 23:00,12.39,18.81,92.2,0.0,0.007,45.02,0.019,
2018-12-30 22:00,12.39,19.91,92.3,0.006,0.007,270.8,0.012,
2018-12-30 21:00,12.4,20.77,94.0,0.0,0.007,330.6,0.012,
2018-12-30 20:00,12.42,19.91,92.8,0.0,0.009,335.3,0.019,
2018-12-30 19:00,12.43,20.64,93.4,0.006,2.445,339.1,6.073,
2018-12-30 18:00,12.45,20.89,93.7,1.049,5.091,338.4,9.92,
2018-12-30 17:00,12.47,21.13,93.8,0.534,4.811,340.7,9.12,
2018-12-30 16:00,12.51,22.35,94.3,0.0,4.57,291.1,10.42,
2018-12-30 15:00,12.9,21.38,94.5,6.806,11.97,275.0,15.8,
2018-12-30 14:00,12.66,22.85,94.0,4.496,8.58,263.4,13.09,
