Date/Time (PST),Battery Voltage (v),Temperature (deg F),"24 Hour Snow ("")","Total Snow Depth ("")"
2018-12-31 23:00,12.43,19.32,0.134,61.93
2018-12-31 22:00,12.45,17.53,0.128,62.04
2018-12-31 21:00,12.47,17.12,0.126,62.24
2018-12-31 20:00,12.49,15.49,0.126,62.37
2018-12-31 19:00,12.51,14.1,0.126,62.37
2018-12-31 18:00,12.54,16.18,0.13,62.38
2018-12-31 17:00,12.55,14.88,0.142,62.56
2018-12-31 16:00,12.59,15.19,0.148,62.72
2018-12-31 15:00,12.65,16.53,0.029,62.7
2018-12-31 14:00,12.77,20.11,0.49,61.96
2018-12-31 13:00,12.82,20.57,0.024,62.35
2018-12-31 12:00,13.86,23.59,0.016,62.79
2018-12-31 11:00,12.86,17.77,0.142,62.96
2018-12-31 10:00,14.22,19.57,-0.139,62.77
2018-12-31 09:00,12.23,15.05,0.119,63.54
2018-12-31 08:00,12.15,12.51,4.106,63.73
2018-12-31 07:00,12.15,11.51,4.372,63.94
2018-12-31 06:00,12.15,11.71,4.239,63.93
2018-12-31 05:00,12.16,12.64,4.438,64.07
2018-12-31 04:00,12.16,12.25,4.376,64.42
2018-12-31 03:00,12.17,12.51,4.442,64.42
2018-12-31 02:00,12.17,12.9,4.511,64.43
2018-12-31 01:00,12.17,14.05,5.309,64.63
2018-12-31 00:00,12.18,14.35,4.647,64.64
2018-12-30 23:00,12.18,14.36,4.659,64.82
2018-12-30 22:00,12.19,15.81,4.725,64.95
2018-12-30 21:00,12.19,15.72,4.659,65.22
2018-12-30 20:00,12.2,16.89,4.792,65.09
2018-12-30 19:00,12.2,17.48,4.792,64.95
2018-12-30 18:00,12.21,18.1,46.9,64.82
2018-12-30 17:00,12.22,18.29,4.6,64.98
2018-12-30 16:00,12.28,19.68,2.011,62.47
2018-12-30 15:00,12.36,19.86,2.017,62.69
2018-12-30 14:00,12.49,21.71,1.346,61.27
2018-12-30 13:00,12.41,20.1,1.744,62.06
2018-12-30 12:00,12.35,19.3,1.611,62.33
2018-12-30 11:00,12.32,20.48,1.545,62.46
2018-12-30 10:00,12.24,20.08,0.283,61.73
2018-12-30 09:00,12.22,19.83,10.64,61.33
2018-12-30 08:00,12.21,20.08,10.11,60.87
2018-12-30 07:00,12.21,19.96,9.98,61.4
2018-12-30 06:00,12.22,20.83,9.12,60.07
2018-12-30 05:00,12.22,21.12,8.65,60.07
