Date/Time (PST),Battery Voltage (v),Wind Speed Minimum (mph),Wind Speed Average (mph),Wind Speed Maximum (mph),Wind Direction (deg.)
2019-06-24 10:00,11.69,0.0,1.622,7.38,259.7
2019-06-24 09:00,11.69,0.0,1.184,6.065,289.4
2019-06-24 08:00,11.69,0.0,1.019,6.211,340.1
2019-06-24 07:00,11.69,0.0,1.222,6.43,274.3
2019-06-24 06:00,11.69,0.0,1.677,9.79,288.6
2019-06-24 05:00,11.69,0.0,2.341,9.57,278.5
2019-06-24 04:00,11.7,0.0,2.667,8.84,277.5
2019-06-24 03:00,11.7,0.0,2.572,9.64,268.3
2019-06-24 02:00,11.7,0.0,2.279,9.06,268.3
2019-06-24 01:00,11.7,0.0,1.544,7.672,246.9
2019-06-24 00:00,11.7,0.0,2.539,12.64,255.6
2019-06-23 23:00,11.7,0.0,3.652,13.08,285.3
2019-06-23 22:00,11.7,0.0,4.79,17.68,295.8
2019-06-23 21:00,11.7,0.0,4.013,15.27,281.9
2019-06-23 20:00,11.7,0.0,3.099,12.35,291.6
2019-06-23 19:00,11.7,0.0,2.735,12.06,313.6
2019-06-23 18:00,11.7,0.0,4.405,13.15,296.1
2019-06-23 17:00,11.71,0.0,4.45,13.08,298.4
2019-06-23 16:00,11.71,0.0,2.687,11.76,239.8
2019-06-23 15:00,11.71,0.0,3.099,14.1,301.1
2019-06-23 14:00,11.71,0.0,2.346,10.01,288.3
2019-06-23 13:00,11.74,0.0,2.611,11.69,274.5
2019-06-23 12:00,11.77,0.0,2.941,14.47,285.2
2019-06-23 11:00,11.84,0.0,3.536,17.46,296.8
2019-06-23 10:00,11.78,0.0,4.303,15.86,274.2
2019-06-23 09:00,11.7,0.0,3.499,15.71,260.8
2019-06-23 08:00,11.7,0.0,3.915,15.78,284.3
2019-06-23 07:00,11.71,0.0,3.868,13.59,301.3
2019-06-23 06:00,11.71,0.0,4.321,15.42,301.3
2019-06-23 05:00,11.71,0.0,4.046,16.73,306.9
2019-06-23 04:00,11.71,0.0,3.054,22.5,296.9
2019-06-23 03:00,11.71,0.0,3.573,15.93,304.8
2019-06-23 02:00,11.71,0.0,3.71,13.08,301.2
2019-06-23 01:00,11.71,0.0,3.425,13.59,314.4
2019-06-23 00:00,11.71,0.0,4.25,18.56,316.0
2019-06-22 23:00,11.71,0.0,2.899,13.3,291.0
2019-06-22 22:00,11.71,0.0,3.005,13.37,280.4
2019-06-22 21:00,11.71,0.0,3.238,14.32,285.1
2019-06-22 20:00,11.71,0.0,2.96,14.32,275.2
2019-06-22 19:00,11.72,0.0,2.939,15.05,281.4
2019-06-22 18:00,11.72,0.0,3.985,14.54,292.7
2019-06-22 17:00,11.71,0.0,3.525,16.66,277.0
2019-06-22 16:00,11.71,0.0,3.398,15.34,288.0
2019-06-22 15:00,11.72,0.0,4.384,15.27,319.0
2019-06-22 14:00,11.78,0.0,2.659,11.98,312.8
2019-06-22 13:00,11.79,0.0,1.795,10.23,335.7
2019-06-22 12:00,11.72,0.0,1.657,8.77,241.3
2019-06-22 11:00,11.72,0.0,1.216,7.891,230.7
2019-06-22 10:00,11.72,0.0,0.585,6.795,107.0
2019-06-22 09:00,11.71,0.0,1.251,7.672,189.4
2019-06-22 08:00,11.71,0.0,1.374,8.55,222.0
2019-06-22 07:00,11.71,0.0,1.172,7.234,215.3
2019-06-22 06:00,11.71,0.0,1.917,8.69,246.1
2019-06-22 05:00,11.71,0.0,2.256,9.57,260.3
2019-06-22 04:00,11.71,0.0,1.245,7.234,220.8
2019-06-22 03:00,11.71,0.0,1.174,6.576,223.2
2019-06-22 02:00,11.71,0.0,1.118,6.649,207.0
2019-06-22 01:00,11.71,0.0,0.999,9.21,179.2
2019-06-22 00:00,11.71,0.0,1.16,6.138,231.2
2019-06-21 23:00,11.71,0.0,0.524,6.722,174.0
2019-06-21 22:00,11.71,0.0,0.55,5.261,208.0
2019-06-21 21:00,11.71,0.0,1.217,10.08,222.7
2019-06-21 20:00,11.71,0.0,1.828,10.3,236.6
2019-06-21 19:00,11.71,0.0,1.324,7.38,244.9
2019-06-21 18:00,11.71,0.0,1.222,5.991,199.1
2019-06-21 17:00,11.71,0.0,0.967,6.284,139.4
2019-06-21 16:00,11.71,0.0,1.047,6.065,174.5
2019-06-21 15:00,11.71,0.0,1.105,7.014,197.2
2019-06-21 14:00,11.71,0.0,0.902,6.284,229.4
