Date/Time (PST),Battery Voltage (v),Temperature (deg F)
2018-12-31 23:00,12.82,21.66
2018-12-31 22:00,12.92,20.1
2018-12-31 21:00,12.72,19.52
2018-12-31 20:00,12.72,19.33
2018-12-31 19:00,12.73,19.11
2018-12-31 18:00,12.73,20.19
2018-12-31 17:00,12.73,19.99
2018-12-31 16:00,12.74,21.27
2018-12-31 15:00,12.74,22.18
2018-12-31 14:00,12.75,24.36
2018-12-31 13:00,12.76,23.58
2018-12-31 12:00,12.77,20.16
2018-12-31 11:00,12.79,18.08
2018-12-31 10:00,12.84,18.7
2018-12-31 09:00,13.61,17.4
2018-12-31 08:00,12.72,17.23
2018-12-31 07:00,12.73,16.18
2018-12-31 06:00,12.73,16.59
2018-12-31 05:00,12.74,19.19
2018-12-31 04:00,12.74,18.49
2018-12-31 03:00,12.74,18.27
2018-12-31 02:00,12.75,18.34
2018-12-31 01:00,12.76,18.68
2018-12-31 00:00,12.77,19.78
2018-12-30 23:00,12.78,21.34
2018-12-30 22:00,12.81,22.26
2018-12-30 21:00,12.87,22.44
2018-12-30 20:00,12.73,22.09
2018-12-30 19:00,12.73,21.8
2018-12-30 18:00,12.73,22.05
2018-12-30 17:00,12.73,22.24
2018-12-30 16:00,12.74,22.82
2018-12-30 15:00,12.74,23.68
2018-12-30 14:00,12.75,25.08
2018-12-30 13:00,12.75,24.75
2018-12-30 12:00,12.76,25.58
2018-12-30 11:00,12.77,25.07
2018-12-30 10:00,12.79,23.9
2018-12-30 09:00,12.82,23.81
2018-12-30 08:00,12.93,24.15
2018-12-30 07:00,12.72,24.42
2018-12-30 06:00,12.72,24.39
2018-12-30 05:00,12.73,24.55
2018-12-30 04:00,12.73,24.38
2018-12-30 03:00,12.74,24.85
2018-12-30 02:00,12.74,24.71
2018-12-30 01:00,12.75,24.32
2018-12-30 00:00,12.76,24.6
2018-12-29 23:00,12.76,25.12
2018-12-29 22:00,12.77,26.54
2018-12-29 21:00,12.79,27.47
2018-12-29 20:00,12.84,28.75
2018-12-29 19:00,13.71,29.48
2018-12-29 18:00,12.72,30.8
