Date/Time (PST),Battery Voltage (v),Temperature (deg F)
2019-05-21 08:00,12.71,44.71
2019-05-21 07:00,12.71,42.12
2019-05-21 06:00,12.72,40.6
2019-05-21 05:00,12.73,35.98
2019-05-21 04:00,12.73,35.96
2019-05-21 03:00,12.74,36.07
2019-05-21 02:00,12.75,36.66
2019-05-21 01:00,12.76,36.17
2019-05-21 00:00,12.78,36.03
2019-05-20 23:00,12.8,34.42
2019-05-20 22:00,12.83,32.98
2019-05-20 21:00,12.92,32.49
2019-05-20 20:00,12.71,32.22
2019-05-20 19:00,12.72,32.56
2019-05-20 18:00,12.72,33.49
2019-05-20 17:00,12.73,37.14
2019-05-20 16:00,12.73,39.82
2019-05-20 15:00,12.74,41.07
2019-05-20 14:00,12.74,42.8
2019-05-20 13:00,12.75,40.87
2019-05-20 12:00,12.77,39.17
2019-05-20 11:00,12.78,40.24
2019-05-20 10:00,12.81,41.77
2019-05-20 09:00,12.85,39.65
2019-05-20 08:00,12.99,38.82
2019-05-20 07:00,12.72,38.75
2019-05-20 06:00,12.72,38.18
2019-05-20 05:00,12.72,38.21
2019-05-20 04:00,12.73,37.29
2019-05-20 03:00,12.73,37.67
2019-05-20 02:00,12.74,38.22
2019-05-20 01:00,12.75,39.11
2019-05-20 00:00,12.76,39.89
2019-05-19 23:00,12.77,40.34
2019-05-19 22:00,12.79,40.4
2019-05-19 21:00,12.82,40.78
2019-05-19 20:00,12.88,41.19
2019-05-19 19:00,12.71,42.59
2019-05-19 18:00,12.71,45.27
2019-05-19 17:00,12.72,47.96
2019-05-19 16:00,12.72,50.86
2019-05-19 15:00,12.73,53.46
2019-05-19 14:00,12.73,51.26
2019-05-19 13:00,12.74,54.39
2019-05-19 12:00,12.75,49.29
2019-05-19 11:00,12.76,45.7
2019-05-19 10:00,12.78,41.7
2019-05-19 09:00,12.8,41.5
2019-05-19 08:00,12.83,39.31
2019-05-19 07:00,12.91,39.14
2019-05-19 06:00,12.71,38.13
2019-05-19 05:00,12.72,37.98
2019-05-19 04:00,12.72,38.47
2019-05-19 03:00,12.73,38.17
2019-05-19 02:00,12.73,38.16
2019-05-19 01:00,12.74,39.12
2019-05-19 00:00,12.74,38.86
2019-05-18 23:00,12.75,40.26
2019-05-18 22:00,12.76,40.66
2019-05-18 21:00,12.78,41.49
2019-05-18 20:00,12.81,41.86
2019-05-18 19:00,12.85,43.65
2019-05-18 18:00,12.98,45.22
2019-05-18 17:00,12.71,47.92
2019-05-18 16:00,12.71,48.14
2019-05-18 15:00,12.72,49.09
2019-05-18 14:00,12.72,48.45
2019-05-18 13:00,12.73,51.59
2019-05-18 12:00,12.74,47.39
2019-05-18 11:00,12.75,49.6
2019-05-18 10:00,12.76,48.69
2019-05-18 09:00,12.77,43.71
2019-05-18 08:00,12.8,43.37
2019-05-18 07:00,12.82,38.39
2019-05-18 06:00,12.88,33.84
2019-05-18 05:00,12.7,32.96
2019-05-18 04:00,12.71,32.78
2019-05-18 03:00,12.71,32.92
2019-05-18 02:00,12.72,32.87
2019-05-18 01:00,12.72,32.89
2019-05-18 00:00,12.73,33.01
2019-05-17 23:00,12.74,33.23
2019-05-17 22:00,12.74,33.13
2019-05-17 21:00,12.76,33.39
2019-05-17 20:00,12.77,33.87
2019-05-17 19:00,12.79,34.19
2019-05-17 18:00,12.83,35.54
2019-05-17 17:00,12.9,36.61
2019-05-17 16:00,12.71,35.92
2019-05-17 15:00,12.72,35.95
2019-05-17 14:00,12.72,35.11
2019-05-17 13:00,12.72,37.39
2019-05-17 12:00,12.73,36.37
2019-05-17 11:00,12.73,36.23
2019-05-17 10:00,12.74,35.58
2019-05-17 09:00,12.75,34.61
2019-05-17 08:00,12.77,34.9
2019-05-17 07:00,12.78,35.23
2019-05-17 06:00,12.8,36.13
2019-05-17 05:00,12.84,36.58
2019-05-17 04:00,12.96,36.71
2019-05-17 03:00,12.72,37.17
2019-05-17 02:00,12.72,38.09
2019-05-17 01:00,12.72,38.61
2019-05-17 00:00,12.73,39.07
2019-05-16 23:00,12.73,39.99
2019-05-16 22:00,12.74,40.62
2019-05-16 21:00,12.75,40.03
2019-05-16 20:00,12.76,40.96
2019-05-16 19:00,12.77,41.59
2019-05-16 18:00,12.79,41.87
2019-05-16 17:00,12.82,42.06
2019-05-16 16:00,12.86,42.56
2019-05-16 15:00,13.65,44.72
2019-05-16 14:00,12.72,46.62
2019-05-16 13:00,12.73,45.26
2019-05-16 12:00,12.73,46.04
2019-05-16 11:00,12.73,44.31
2019-05-16 10:00,12.74,44.52
2019-05-16 09:00,12.74,44.38
2019-05-16 08:00,12.75,42.2
2019-05-16 07:00,12.76,42.08
2019-05-16 06:00,12.78,41.0
2019-05-16 05:00,12.79,40.7
2019-05-16 04:00,12.83,40.16
