Date/Time (PST),""" - 2700' - Berne",""" - 3950' - Stevens Pass - Schmidt Haus",""" - 4790' - Stevens Pass - Grace Lakes",""" - 4800' - Stevens Pass - Brooks Precipitation"
2019-06-25 13:00,,0.275,12.31,
2019-06-25 12:00,,2.385,11.77,
2019-06-25 11:00,,1.462,12.12,
2019-06-25 10:00,,0.472,11.63,
2019-06-25 09:00,,0.802,14.04,
2019-06-25 08:00,,1.858,13.33,
2019-06-25 07:00,,2.055,12.63,
2019-06-25 06:00,,2.253,5.907,
2019-06-25 05:00,,2.517,12.59,
2019-06-25 04:00,,2.319,13.14,
2019-06-25 03:00,,1.264,7.927,
2019-06-25 02:00,,1.594,5.241,
2019-06-25 01:00,,1.528,5.241,
2019-06-25 00:00,,1.66,9.0,
2019-06-24 23:00,,1.462,8.87,
2019-06-24 22:00,3.845,1.858,12.09,
2019-06-24 21:00,3.593,1.265,17.21,
2019-06-24 20:00,3.795,1.132,17.8,
2019-06-24 19:00,3.271,0.67,16.51,
2019-06-24 18:00,3.533,1.528,12.9,
2019-06-24 17:00,3.926,3.111,17.62,
2019-06-24 16:00,3.01,3.77,17.9,
2019-06-24 15:00,3.402,1.132,9.17,
2019-06-24 14:00,4.514,3.375,12.64,
2019-06-24 13:00,8.44,2.253,11.01,
2019-06-24 12:00,3.729,3.375,12.23,
2019-06-24 11:00,3.599,1.396,8.53,
2019-06-24 10:00,4.253,0.538,8.76,
2019-06-24 09:00,1.701,1.198,12.64,
2019-06-24 08:00,4.378,0.604,15.11,
2019-06-24 07:00,4.311,2.517,12.09,
2019-06-24 06:00,4.752,2.121,15.18,
2019-06-24 05:00,4.949,3.243,15.7,
2019-06-24 04:00,4.62,3.507,14.89,
2019-06-24 03:00,4.691,2.385,15.44,
2019-06-24 02:00,4.755,1.99,16.12,
2019-06-24 01:00,4.508,2.055,14.51,
2019-06-24 00:00,4.105,2.517,15.31,
2019-06-23 23:00,3.91,3.243,13.6,
2019-06-23 22:00,4.504,2.979,13.35,
2019-06-23 21:00,4.122,2.319,15.92,
2019-06-23 20:00,3.991,2.715,16.05,
2019-06-23 19:00,3.926,2.583,11.22,
2019-06-23 18:00,3.402,2.583,13.77,
2019-06-23 17:00,3.468,2.319,13.03,
2019-06-23 16:00,2.094,2.649,16.63,
2019-06-23 15:00,1.309,0.407,16.39,
2019-06-23 14:00,2.421,0.472,4.579,
2019-06-23 13:00,4.449,2.187,13.3,
2019-06-23 12:00,3.468,2.979,10.62,
2019-06-23 11:00,4.907,1.462,11.42,
2019-06-23 10:00,4.449,1.462,12.23,
2019-06-23 09:00,4.514,1.528,13.84,
2019-06-23 08:00,3.075,0.934,14.84,
2019-06-23 07:00,4.514,0.802,12.56,
2019-06-23 06:00,3.729,2.517,14.84,
2019-06-23 05:00,3.141,1.198,14.64,
2019-06-23 04:00,2.944,0.604,15.25,
2019-06-23 03:00,3.141,2.847,16.39,
2019-06-23 02:00,2.814,1.529,9.21,
2019-06-23 01:00,3.599,1.333,4.709,
2019-06-23 00:00,2.879,1.267,11.69,
2019-06-22 23:00,3.468,3.049,10.55,
2019-06-22 22:00,3.141,2.559,11.29,
2019-06-22 21:00,4.122,2.428,11.09,
2019-06-22 20:00,4.711,3.017,5.313,
2019-06-22 19:00,4.907,3.344,9.01,
2019-06-22 18:00,4.449,3.155,13.24,
