Date/Time (PST),Battery Voltage (v),Temperature (deg F),Wind Speed Minimum (mph),Wind Speed Average (mph),Wind Speed Maximum (mph),Wind Direction (deg.)
2018-12-31 23:00,12.58,20.23,1.841,4.669,10.04,233.3
2018-12-31 22:00,12.6,21.6,3.858,6.978,11.53,233.3
2018-12-31 21:00,12.62,20.81,2.893,5.729,9.71,233.2
2018-12-31 20:00,12.66,19.83,0.373,3.895,7.869,233.2
2018-12-31 19:00,12.71,20.14,1.644,5.091,9.47,233.2
2018-12-31 18:00,12.76,20.64,2.784,5.063,8.9,233.2
2018-12-31 17:00,12.86,20.06,1.929,4.628,9.14,233.2
2018-12-31 16:00,13.07,20.83,0.0,3.245,7.628,249.7
2018-12-31 15:00,12.55,22.62,0.0,1.679,5.261,275.3
2018-12-31 14:00,12.55,25.2,0.0,2.569,4.735,111.6
2018-12-31 13:00,12.55,25.39,0.0,3.064,6.664,106.8
2018-12-31 12:00,12.56,24.66,1.074,4.427,7.869,98.8
2018-12-31 11:00,12.58,24.19,0.614,5.437,9.56,106.6
2018-12-31 10:00,12.57,22.03,2.389,4.609,7.716,98.6
2018-12-31 09:00,12.61,18.91,1.512,5.518,8.02,96.9
2018-12-31 08:00,12.62,16.42,3.858,5.512,7.19,89.9
2018-12-31 07:00,12.69,17.85,2.324,5.575,8.09,65.98
2018-12-31 06:00,12.74,17.37,0.0,2.948,6.598,82.6
2018-12-31 05:00,12.81,15.8,2.477,5.054,7.19,101.7
2018-12-31 04:00,12.93,15.53,3.069,4.626,5.765,100.3
2018-12-31 03:00,13.59,15.98,1.096,2.872,4.735,87.0
2018-12-31 02:00,12.56,16.79,1.644,3.347,5.195,100.7
2018-12-31 01:00,12.56,18.65,0.658,3.34,5.765,92.8
2018-12-31 00:00,12.56,19.82,0.0,2.811,5.875,94.2
2018-12-30 23:00,12.57,20.84,0.0,1.274,5.414,73.46
2018-12-30 22:00,12.58,21.64,0.0,1.993,5.173,270.5
2018-12-30 21:00,12.59,21.66,1.118,3.721,7.234,267.2
2018-12-30 20:00,12.61,21.75,1.951,6.827,17.16,265.9
2018-12-30 19:00,12.63,21.91,2.236,9.23,19.31,263.2
2018-12-30 18:00,12.67,21.66,3.441,9.98,17.56,267.1
