Date/Time (PST),% - 2700' - Berne,% - 3950' - Stevens Pass - Schmidt Haus,% - 4790' - Stevens Pass - Grace Lakes,% - 4800' - Stevens Pass - Brooks Precipitation,% - 4850' - Stevens Pass - Brooks Wind (Retired 2019)
2019-06-28 12:00,57.23,58.44,65.99,,
2019-06-28 11:00,48.45,69.63,80.9,,
2019-06-28 10:00,54.64,77.0,78.76,,
2019-06-28 09:00,53.9,85.2,88.7,,
2019-06-28 08:00,61.89,92.3,93.1,,
2019-06-28 07:00,78.3,94.4,95.1,,
2019-06-28 06:00,88.5,94.4,100.0,,
2019-06-28 05:00,90.7,94.2,97.4,,
2019-06-28 04:00,90.9,94.2,99.8,,
2019-06-28 03:00,90.9,93.7,96.7,,
2019-06-28 02:00,91.0,93.7,98.1,,
2019-06-28 01:00,91.5,94.1,97.1,,
2019-06-28 00:00,90.9,94.2,97.9,,
2019-06-27 23:00,91.3,93.5,99.5,,
2019-06-27 22:00,90.3,93.5,97.2,,
2019-06-27 21:00,91.8,91.4,94.8,,
2019-06-27 20:00,92.1,93.2,94.8,,
2019-06-27 19:00,91.5,92.5,96.2,,
2019-06-27 18:00,90.4,92.3,93.5,,
2019-06-27 17:00,87.9,91.9,94.9,,
2019-06-27 16:00,85.2,92.9,96.7,,
2019-06-27 15:00,91.1,94.0,99.8,,
2019-06-27 14:00,90.9,94.1,99.8,,
2019-06-27 13:00,86.9,92.6,96.6,,
2019-06-27 12:00,78.4,88.9,92.7,,
2019-06-27 11:00,79.2,89.3,93.4,,
2019-06-27 10:00,63.34,89.7,94.7,,
2019-06-27 09:00,65.4,92.5,94.2,,
2019-06-27 08:00,74.0,94.8,97.3,,
2019-06-27 07:00,85.9,94.6,99.8,,
2019-06-27 06:00,82.5,95.0,99.9,,
2019-06-27 05:00,89.4,94.4,99.9,,
2019-06-27 04:00,90.2,94.4,97.3,,
2019-06-27 03:00,88.8,94.5,97.6,,
2019-06-27 02:00,89.3,94.6,99.9,,
2019-06-27 01:00,89.3,94.4,98.2,,
2019-06-27 00:00,89.9,94.3,97.2,,
2019-06-26 23:00,89.3,94.5,99.8,,
2019-06-26 22:00,91.6,94.4,99.7,,
2019-06-26 21:00,91.8,93.5,97.0,,
2019-06-26 20:00,91.5,91.3,98.9,,
2019-06-26 19:00,89.5,94.0,99.8,,
2019-06-26 18:00,87.8,94.3,99.9,,
2019-06-26 17:00,84.9,91.9,99.9,,
