Date/Time (PST),""" - 2700' - Berne",""" - 3950' - Stevens Pass - Schmidt Haus",""" - 4790' - Stevens Pass - Grace Lakes",""" - 4800' - Stevens Pass - Brooks Precipitation"
2019-06-28 12:00,3.533,0.604,9.08,
2019-06-28 11:00,1.898,0.802,11.3,
2019-06-28 10:00,3.533,0.736,5.787,
2019-06-28 09:00,3.991,1.726,11.76,
2019-06-28 08:00,3.981,1.66,13.77,
2019-06-28 07:00,4.358,0.934,13.43,
2019-06-28 06:00,3.703,2.319,11.62,
2019-06-28 05:00,3.245,2.121,11.89,
2019-06-28 04:00,3.769,1.264,12.22,
2019-06-28 03:00,3.834,2.385,12.49,
2019-06-28 02:00,4.227,1.858,12.76,
2019-06-28 01:00,3.965,1.462,12.9,
2019-06-28 00:00,3.572,1.396,12.63,
2019-06-27 23:00,2.984,1.99,12.69,
2019-06-27 22:00,4.294,2.913,12.49,
2019-06-27 21:00,3.911,2.715,11.96,
2019-06-27 20:00,4.313,3.051,13.9,
2019-06-27 19:00,4.051,1.0,13.7,
2019-06-27 18:00,4.253,1.264,12.87,
2019-06-27 17:00,3.991,1.066,12.3,
2019-06-27 16:00,4.573,2.979,9.34,
2019-06-27 15:00,3.773,1.33,14.98,
2019-06-27 14:00,4.057,1.33,10.88,
2019-06-27 13:00,5.365,3.375,11.49,
2019-06-27 12:00,2.683,0.802,11.15,
2019-06-27 11:00,1.898,0.67,12.36,
2019-06-27 10:00,1.505,2.055,13.7,
2019-06-27 09:00,3.599,1.066,13.9,
2019-06-27 08:00,3.599,0.604,11.76,
2019-06-27 07:00,3.853,1.198,11.49,
2019-06-27 06:00,3.779,3.111,11.69,
2019-06-27 05:00,3.97,1.528,11.35,
2019-06-27 04:00,3.784,1.726,11.76,
2019-06-27 03:00,3.981,2.187,11.76,
2019-06-27 02:00,4.23,2.187,11.76,
2019-06-27 01:00,4.17,1.792,11.22,
2019-06-27 00:00,4.375,0.802,8.8,
2019-06-26 23:00,4.764,1.528,7.997,
2019-06-26 22:00,4.434,1.133,11.75,
2019-06-26 21:00,4.24,1.809,13.23,
2019-06-26 20:00,4.376,1.499,11.89,
2019-06-26 19:00,3.141,2.217,12.36,
2019-06-26 18:00,3.664,3.469,14.31,
2019-06-26 17:00,3.991,4.255,14.32,
2019-06-26 16:00,3.991,0.353,11.15,
2019-06-26 15:00,3.86,1.29,14.24,
2019-06-26 14:00,3.664,2.253,12.97,
2019-06-26 13:00,4.449,0.67,11.87,
2019-06-26 12:00,1.963,1.858,12.67,
2019-06-26 11:00,2.944,0.934,5.338,
2019-06-26 10:00,2.814,-0.055,11.77,
2019-06-26 09:00,2.748,1.462,11.49,
2019-06-26 08:00,2.927,2.187,13.3,
2019-06-26 07:00,2.918,0.802,12.43,
2019-06-26 06:00,1.871,1.528,11.76,
2019-06-26 05:00,1.871,2.847,11.71,
2019-06-26 04:00,2.526,3.045,10.04,
2019-06-26 03:00,1.74,3.045,12.5,
2019-06-26 02:00,1.479,2.649,12.12,
2019-06-26 01:00,111.7,2.451,11.71,
2019-06-26 00:00,3.507,2.452,7.679,
2019-06-25 23:00,3.584,2.333,6.813,
2019-06-25 22:00,2.406,1.742,12.21,
2019-06-25 21:00,3.265,1.889,12.36,
2019-06-25 20:00,0.513,4.394,14.91,
2019-06-25 19:00,89.0,1.31,14.44,
2019-06-25 18:00,1.963,1.094,14.09,
2019-06-25 17:00,2.159,0.781,18.27,
2019-06-25 16:00,2.159,0.827,12.54,
2019-06-25 15:00,3.926,1.213,16.46,
2019-06-25 14:00,3.533,0.285,10.02,
2019-06-25 13:00,4.835,0.275,12.31,
2019-06-25 12:00,1.826,2.385,11.77,
2019-06-25 11:00,1.571,1.462,12.12,
2019-06-25 10:00,2.944,0.472,11.63,
2019-06-25 09:00,4.187,0.802,14.04,
2019-06-25 08:00,4.896,1.858,13.33,
2019-06-25 07:00,7.63,2.055,12.63,
2019-06-25 06:00,4.816,2.253,5.907,
2019-06-25 05:00,4.881,2.517,12.59,
2019-06-25 04:00,4.946,2.319,13.14,
2019-06-25 03:00,4.292,1.264,7.927,
2019-06-25 02:00,4.488,1.594,5.241,
2019-06-25 01:00,4.096,1.528,5.241,
2019-06-25 00:00,4.292,1.66,9.0,
2019-06-24 23:00,3.966,1.462,8.87,
2019-06-24 22:00,3.845,1.858,12.09,
2019-06-24 21:00,3.593,1.265,17.21,
2019-06-24 20:00,3.795,1.132,17.8,
2019-06-24 19:00,3.271,0.67,16.51,
2019-06-24 18:00,3.533,1.528,12.9,
2019-06-24 17:00,3.926,3.111,17.62,
2019-06-24 16:00,3.01,3.77,17.9,
2019-06-24 15:00,3.402,1.132,9.17,
2019-06-24 14:00,4.514,3.375,12.64,
2019-06-24 13:00,8.44,2.253,11.01,
2019-06-24 12:00,3.729,3.375,12.23,
2019-06-24 11:00,3.599,1.396,8.53,
2019-06-24 10:00,4.253,0.538,8.76,
2019-06-24 09:00,1.701,1.198,12.64,
2019-06-24 08:00,4.378,0.604,15.11,
2019-06-24 07:00,4.311,2.517,12.09,
2019-06-24 06:00,4.752,2.121,15.18,
2019-06-24 05:00,4.949,3.243,15.7,
2019-06-24 04:00,4.62,3.507,14.89,
2019-06-24 03:00,4.691,2.385,15.44,
2019-06-24 02:00,4.755,1.99,16.12,
2019-06-24 01:00,4.508,2.055,14.51,
2019-06-24 00:00,4.105,2.517,15.31,
2019-06-23 23:00,3.91,3.243,13.6,
2019-06-23 22:00,4.504,2.979,13.35,
2019-06-23 21:00,4.122,2.319,15.92,
2019-06-23 20:00,3.991,2.715,16.05,
2019-06-23 19:00,3.926,2.583,11.22,
2019-06-23 18:00,3.402,2.583,13.77,
2019-06-23 17:00,3.468,2.319,13.03,
2019-06-23 16:00,2.094,2.649,16.63,
2019-06-23 15:00,1.309,0.407,16.39,
2019-06-23 14:00,2.421,0.472,4.579,
2019-06-23 13:00,4.449,2.187,13.3,
2019-06-23 12:00,3.468,2.979,10.62,
2019-06-23 11:00,4.907,1.462,11.42,
2019-06-23 10:00,4.449,1.462,12.23,
2019-06-23 09:00,4.514,1.528,13.84,
2019-06-23 08:00,3.075,0.934,14.84,
2019-06-23 07:00,4.514,0.802,12.56,
2019-06-23 06:00,3.729,2.517,14.84,
2019-06-23 05:00,3.141,1.198,14.64,
2019-06-23 04:00,2.944,0.604,15.25,
2019-06-23 03:00,3.141,2.847,16.39,
2019-06-23 02:00,2.814,1.529,9.21,
2019-06-23 01:00,3.599,1.333,4.709,
2019-06-23 00:00,2.879,1.267,11.69,
2019-06-22 23:00,3.468,3.049,10.55,
2019-06-22 22:00,3.141,2.559,11.29,
2019-06-22 21:00,4.122,2.428,11.09,
2019-06-22 20:00,4.711,3.017,5.313,
2019-06-22 19:00,4.907,3.344,9.01,
2019-06-22 18:00,4.449,3.155,13.24,
2019-06-22 17:00,3.206,2.287,13.19,
2019-06-22 16:00,3.858,3.054,12.77,
2019-06-22 15:00,3.206,2.253,12.9,
2019-06-22 14:00,3.075,2.187,12.77,
2019-06-22 13:00,3.01,1.99,12.36,
2019-06-22 12:00,3.664,2.055,15.25,
2019-06-22 11:00,2.552,0.736,13.6,
