Date/Time (PST),""" - 2700' - Berne",""" - 3950' - Stevens Pass - Schmidt Haus",""" - 4800' - Stevens Pass - Brooks Precipitation"
2019-06-25 13:00,,16.14,
2019-06-25 12:00,,12.12,
2019-06-25 11:00,,22.41,
2019-06-25 10:00,,29.6,
2019-06-25 09:00,,43.05,
2019-06-25 08:00,,59.41,
2019-06-25 07:00,,61.78,
2019-06-25 06:00,,48.86,
2019-06-25 05:00,,60.27,
2019-06-25 04:00,,59.61,
2019-06-25 03:00,,59.47,
2019-06-25 02:00,,57.56,
2019-06-25 01:00,,57.69,
2019-06-25 00:00,,55.98,
2019-06-24 23:00,,55.19,
2019-06-24 22:00,61.25,54.0,
2019-06-24 21:00,61.84,45.03,
2019-06-24 20:00,62.23,49.51,
2019-06-24 19:00,62.1,46.94,
2019-06-24 18:00,61.84,46.41,
2019-06-24 17:00,61.51,46.41,
2019-06-24 16:00,61.25,43.91,
2019-06-24 15:00,60.99,45.95,
2019-06-24 14:00,61.25,49.98,
2019-06-24 13:00,61.97,56.64,
2019-06-24 12:00,64.52,57.56,
2019-06-24 11:00,66.09,59.94,
2019-06-24 10:00,67.79,59.28,
2019-06-24 09:00,69.3,60.99,
2019-06-24 08:00,69.1,60.53,
2019-06-24 07:00,68.77,61.65,
2019-06-24 06:00,67.93,60.07,
2019-06-24 05:00,67.27,59.14,
2019-06-24 04:00,66.29,58.81,
2019-06-24 03:00,65.96,57.83,
2019-06-24 02:00,65.44,57.3,
2019-06-24 01:00,65.24,57.69,
2019-06-24 00:00,65.18,55.71,
2019-06-23 23:00,65.24,54.99,
2019-06-23 22:00,64.52,46.35,
2019-06-23 21:00,64.13,53.93,
2019-06-23 20:00,63.67,51.96,
2019-06-23 19:00,63.01,52.22,
2019-06-23 18:00,62.36,49.58,
2019-06-23 17:00,61.97,49.12,
2019-06-23 16:00,61.9,43.31,
2019-06-23 15:00,62.23,49.19,
2019-06-23 14:00,62.88,49.84,
2019-06-23 13:00,63.93,51.36,
2019-06-23 12:00,65.7,51.82,
2019-06-23 11:00,66.55,38.3,
2019-06-23 10:00,66.94,56.11,
2019-06-23 09:00,67.01,56.31,
2019-06-23 08:00,67.27,55.78,
2019-06-23 07:00,66.81,55.52,
2019-06-23 06:00,66.68,55.25,
2019-06-23 05:00,66.29,54.73,
2019-06-23 04:00,66.35,54.13,
2019-06-23 03:00,66.22,52.61,
2019-06-23 02:00,65.96,51.1,
2019-06-23 01:00,65.89,49.45,
2019-06-23 00:00,65.76,50.11,
2019-06-22 23:00,65.5,46.22,
2019-06-22 22:00,64.91,45.62,
2019-06-22 21:00,64.0,42.39,
2019-06-22 20:00,62.95,39.09,
2019-06-22 19:00,61.9,35.47,
2019-06-22 18:00,60.79,31.45,
2019-06-22 17:00,59.35,25.38,
2019-06-22 16:00,58.63,20.3,
2019-06-22 15:00,58.17,22.67,
2019-06-22 14:00,58.57,43.58,
2019-06-22 13:00,59.16,47.21,
2019-06-22 12:00,59.68,50.77,
2019-06-22 11:00,61.84,45.43,
2019-06-22 10:00,66.35,58.55,
2019-06-22 09:00,69.23,50.44,
2019-06-22 08:00,70.7,60.27,
2019-06-22 07:00,71.5,60.13,
2019-06-22 06:00,72.0,61.52,
2019-06-22 05:00,71.8,60.33,
2019-06-22 04:00,71.6,60.46,
2019-06-22 03:00,71.3,61.06,
2019-06-22 02:00,71.1,61.06,
2019-06-22 01:00,70.6,60.73,
2019-06-22 00:00,70.1,60.07,
2019-06-21 23:00,69.49,60.07,
2019-06-21 22:00,68.64,59.87,
2019-06-21 21:00,67.99,60.13,
2019-06-21 20:00,66.94,60.53,
2019-06-21 19:00,65.76,59.41,
2019-06-21 18:00,65.24,59.61,
2019-06-21 17:00,64.91,60.2,
2019-06-21 16:00,64.91,60.46,
2019-06-21 15:00,65.5,61.72,
2019-06-21 14:00,66.68,63.3,
2019-06-21 13:00,68.51,64.82,
2019-06-21 12:00,70.5,66.47,
2019-06-21 11:00,72.2,67.19,
2019-06-21 10:00,73.5,67.19,
2019-06-21 09:00,74.7,67.72,
2019-06-21 08:00,75.4,68.51,
2019-06-21 07:00,74.7,68.31,
2019-06-21 06:00,73.9,68.64,
2019-06-21 05:00,73.4,49.05,
2019-06-21 04:00,73.2,66.4,
2019-06-21 03:00,72.7,65.67,
2019-06-21 02:00,72.0,65.81,
2019-06-21 01:00,71.0,65.34,
2019-06-21 00:00,70.2,65.08,
2019-06-20 23:00,69.37,64.75,
2019-06-20 22:00,68.91,65.41,
2019-06-20 21:00,68.58,65.34,
2019-06-20 20:00,68.32,64.22,
2019-06-20 19:00,68.32,62.84,
2019-06-20 18:00,68.19,63.23,
2019-06-20 17:00,67.86,64.16,
2019-06-20 16:00,67.73,62.71,
2019-06-20 15:00,67.53,62.84,
2019-06-20 14:00,67.46,50.11,
2019-06-20 13:00,67.59,62.31,
2019-06-20 12:00,68.51,63.17,
2019-06-20 11:00,71.4,64.88,
2019-06-20 10:00,75.2,64.09,
2019-06-20 09:00,79.5,65.54,
2019-06-20 08:00,79.8,65.01,
2019-06-20 07:00,78.7,66.2,
2019-06-20 06:00,77.0,65.21,
2019-06-20 05:00,75.5,63.83,
2019-06-20 04:00,74.3,63.04,
2019-06-20 03:00,73.4,51.03,
2019-06-20 02:00,72.4,63.04,
2019-06-20 01:00,71.1,61.45,
2019-06-20 00:00,69.5,60.33,
2019-06-19 23:00,67.8,61.26,
2019-06-19 22:00,66.16,59.67,
2019-06-19 21:00,65.11,58.88,
2019-06-19 20:00,64.92,57.89,
2019-06-19 19:00,65.64,54.99,
2019-06-19 18:00,66.03,53.34,
2019-06-19 17:00,66.42,54.2,
2019-06-19 16:00,67.27,49.98,
2019-06-19 15:00,66.42,48.99,
2019-06-19 14:00,65.57,47.54,
2019-06-19 13:00,64.72,47.54,
2019-06-19 12:00,65.63,52.22,
2019-06-19 11:00,67.79,56.18,
2019-06-19 10:00,68.25,54.59,
2019-06-19 09:00,67.86,55.19,
2019-06-19 08:00,67.27,57.5,
2019-06-19 07:00,66.55,55.32,
2019-06-19 06:00,65.37,40.08,
2019-06-19 05:00,64.33,53.6,
2019-06-19 04:00,63.15,51.69,
2019-06-19 03:00,62.49,50.17,
2019-06-19 02:00,62.82,50.24,
2019-06-19 01:00,63.34,47.07,
2019-06-19 00:00,62.69,47.8,
2019-06-18 23:00,61.71,46.09,
2019-06-18 22:00,60.92,42.99,
2019-06-18 21:00,60.4,25.71,
2019-06-18 20:00,59.35,40.28,
2019-06-18 19:00,58.83,35.07,
2019-06-18 18:00,58.18,28.87,
2019-06-18 17:00,57.46,25.31,
2019-06-18 16:00,56.34,15.22,
2019-06-18 15:00,55.17,17.27,
2019-06-18 14:00,53.6,21.62,
2019-06-18 13:00,53.14,27.09,
2019-06-18 12:00,54.91,34.67,
2019-06-18 11:00,58.11,38.76,
2019-06-18 10:00,61.97,40.68,
2019-06-18 09:00,64.91,44.37,
2019-06-18 08:00,66.03,47.34,
2019-06-18 07:00,65.76,47.73,
2019-06-18 06:00,65.37,46.74,
2019-06-18 05:00,64.98,46.02,
2019-06-18 04:00,64.45,45.03,
2019-06-18 03:00,63.93,43.84,
2019-06-18 02:00,63.47,42.99,
2019-06-18 01:00,63.08,42.79,
2019-06-18 00:00,62.56,41.86,
2019-06-17 23:00,61.64,41.14,
2019-06-17 22:00,60.47,39.56,
2019-06-17 21:00,59.09,37.65,
